"movie","title","genre","gross","inflationAdjustedGross"
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","2001, l'Odyssée de l'espace",,"1.46E8",160600000
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","2001: Odissea nello spazio",,"1.46E8",160600000
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","2001: 스페이스 오디세이",,"1.46E8",160600000
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","2001年宇宙の旅",,"1.46E8",160600000
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","2001: A Space Odyssey",,"1.46E8",160600000
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","2001: Odyseja kosmiczna (film)",,"1.46E8",160600000
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","2001: A Space Odyssey",,"1.46E8",160600000
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","Космическая одиссея 2001 года",,"1.46E8",160600000
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","År 2001 – ett rymdäventyr",,"1.46E8",160600000
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","Космічна одіссея 2001 року (фільм)",,"1.46E8",160600000
"http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film)","2001太空漫遊 (電影)",,"1.46E8",160600000
"http://dbpedia.org/resource/2010:_The_Year_We_Make_Contact","2010 (pel·lícula)",,,0
"http://dbpedia.org/resource/2010:_The_Year_We_Make_Contact","2010: Druhá vesmírná odysea (film)",,,0
"http://dbpedia.org/resource/2010:_The_Year_We_Make_Contact","2010: Das Jahr, in dem wir Kontakt aufnehmen",,,0
"http://dbpedia.org/resource/2010:_The_Year_We_Make_Contact","2010: The Year We Make Contact",,,0
"http://dbpedia.org/resource/2010:_The_Year_We_Make_Contact","2010: The Year We Make Contact",,,0
"http://dbpedia.org/resource/2010:_The_Year_We_Make_Contact","2010: The Year We Make Contact",,,0
"http://dbpedia.org/resource/2010:_The_Year_We_Make_Contact","2010: The Year We Make Contact",,,0
"http://dbpedia.org/resource/2010:_The_Year_We_Make_Contact","2010 : L'Année du premier contact",,,0
"http://dbpedia.org/resource/2010:_The_Year_We_Make_Contact","2010 - L'anno del contatto",,,0
"http://dbpedia.org/resource/2010:_The_Year_We_Make_Contact","2010年 (映画)",,,0
"http://dbpedia.org/resource/2010:_The_Year_We_Make_Contact","2010 우주 여행",,,0
"http://dbpedia.org/resource/2010:_The_Year_We_Make_Contact","2010: The Year We Make Contact",,,0
"http://dbpedia.org/resource/2010:_The_Year_We_Make_Contact","2010: Odyseja kosmiczna (film)",,,0
"http://dbpedia.org/resource/2010:_The_Year_We_Make_Contact","2010 (filme)",,,0
"http://dbpedia.org/resource/2010:_The_Year_We_Make_Contact","Космическая одиссея 2010",,,0
"http://dbpedia.org/resource/2010:_The_Year_We_Make_Contact","2010 (film)",,,0
"http://dbpedia.org/resource/2010:_The_Year_We_Make_Contact","威震太陽神",,,0
